season,season_type,round_name,team,opponent,player_id,player_name,game_number,minutes_played,points,rebounds,assists,turnovers,steals,blocks,personal_fouls,status
2025-26,Playoffs,First Round,NYK,ATL,1630574,Ariel Hukporti,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNP - Coach's Decision
2025-26,Playoffs,First Round,NYK,ATL,1630574,Ariel Hukporti,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNP - Coach's Decision
2025-26,Playoffs,First Round,NYK,ATL,1630574,Ariel Hukporti,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNP - Coach's Decision
2025-26,Playoffs,First Round,NYK,ATL,1630574,Ariel Hukporti,4,3.5833333333333335,0.0,3.0,0.0,1.0,0.0,1.0,0.0,Yes
2025-26,Playoffs,First Round,NYK,ATL,1630574,Ariel Hukporti,5,3.466666666666667,0.0,2.0,0.0,0.0,1.0,1.0,0.0,Yes
2025-26,Playoffs,First Round,NYK,ATL,1630574,Ariel Hukporti,6,12.216666666666667,3.0,4.0,0.0,2.0,0.0,1.0,3.0,Yes
2025-26,Playoffs,Conference Semifinals,NYK,PHI,1630574,Ariel Hukporti,7,17.45,5.0,9.0,0.0,1.0,0.0,2.0,4.0,Yes
2025-26,Playoffs,Conference Semifinals,NYK,PHI,1630574,Ariel Hukporti,8,6.883333333333333,2.0,3.0,0.0,0.0,0.0,0.0,4.0,Yes
2025-26,Playoffs,Conference Semifinals,NYK,PHI,1630574,Ariel Hukporti,9,3.3833333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Yes
2025-26,Playoffs,Conference Semifinals,NYK,PHI,1630574,Ariel Hukporti,10,15.583333333333334,5.0,4.0,1.0,1.0,0.0,0.0,5.0,Yes
2025-26,Playoffs,Eastern Conference Finals,NYK,CLE,1630574,Ariel Hukporti,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNP - Coach's Decision
2025-26,Playoffs,Eastern Conference Finals,NYK,CLE,1630574,Ariel Hukporti,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNP - Coach's Decision
2025-26,Playoffs,Eastern Conference Finals,NYK,CLE,1630574,Ariel Hukporti,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNP - Coach's Decision
2025-26,Playoffs,Eastern Conference Finals,NYK,CLE,1630574,Ariel Hukporti,14,7.783333333333333,2.0,5.0,1.0,0.0,1.0,0.0,1.0,Yes
